Empresa,Identificador,Fecha Deposito,Fecha Corte,Importe Fianza,Interes,D_fsi,Ultimo Deposito,Ultima Tasa,D_f
EDENORTE,8496496.0,2018-01-10,2022-07-01,439.98,4.86,449.9978,542.2779,5.8614,542.2779
EDENORTE,8562884.0,2018-01-10,2018-06-12,422.22,4.86,431.8334,431.8334,5.1617,441.7265
EDENORTE,8563024.0,2018-01-10,2018-05-11,182.46,4.86,186.6144,186.6144,5.1632,190.0461
EDENORTE,8563479.0,2018-01-10,2018-07-03,519.9,4.86,531.7375,531.7375,5.1544,531.8877
EDENORTE,8096085.0,2018-01-10,2024-02-08,500.0,4.86,511.3844,697.4495,8.5636,703.6676
EDENORTE,8019989.0,2018-01-11,2019-08-19,500.0,4.86,511.3178,544.0135,5.776,548.2319
EDENORTE,8559749.0,2018-01-11,2019-07-16,289.02,4.86,295.5621,314.4616,5.776,315.208
EDENORTE,8162746.0,2018-01-11,2019-02-04,370.86,4.86,379.2546,389.0288,7.4426,391.7259
EDENORTE,8175014.0,2018-01-11,2019-02-21,3990.81,4.86,4081.1444,4186.3237,7.4426,4229.8583
EDENORTE,8131617.0,2018-01-11,2019-10-08,2603.64,4.86,2662.575,2832.8308,5.776,2877.2111
EDENORTE,8110497.0,2018-01-11,2018-09-10,644.22,4.86,658.8023,658.8023,5.1544,665.4077
EDENORTE,3212120.0,2018-01-11,2018-08-07,800.0,4.86,818.1085,818.1085,5.1544,822.3831
EDENORTE,3204011.0,2018-01-11,2018-09-19,500.0,4.86,511.3178,511.3178,5.1544,517.0943
EDENORTE,4425000.0,2018-01-11,2021-04-22,500.0,4.86,511.3178,592.8883,3.1025,598.4822
EDENORTE,4425902.0,2018-01-11,2021-03-23,733.04,4.86,749.6328,869.2217,3.1025,875.2063
EDENORTE,4343275.0,2018-01-11,2020-07-24,608.7,4.86,622.4783,704.0868,5.0265,706.3169
EDENORTE,4335337.0,2018-01-11,2021-12-13,1215.78,4.86,1243.2999,1464.007,2.3425,1479.5099
EDENORTE,4135930.0,2018-01-11,2020-08-05,493.26,4.86,504.4252,570.5567,5.0265,573.3067
EDENORTE,7040567.0,2018-01-11,2022-05-16,386.7,4.86,395.4532,471.1069,2.3099,475.1318
EDENORTE,5215618.0,2018-01-11,2023-01-11,777.42,4.86,795.0174,986.1274,9.9345,988.8115
EDENORTE,4660569.0,2018-01-11,2022-08-23,633.54,4.86,647.8806,780.74,5.8614,787.385
EDENORTE,4517755.0,2018-01-11,2018-08-23,244.62,4.86,250.1571,250.1571,5.1544,252.0294
EDENORTE,4443031.0,2018-01-11,2018-04-20,500.0,4.86,511.3178,511.3178,5.1,519.1053
EDENORTE,4452355.0,2018-01-11,2018-07-27,500.0,4.86,511.3178,511.3178,5.1544,513.1952
EDENORTE,8389021.0,2018-01-11,2020-11-11,1215.78,4.86,1243.2999,1406.2997,5.0265,1432.0571
EDENORTE,8387793.0,2018-01-11,2018-10-09,395.58,4.86,404.5342,404.5342,5.1544,410.2469
EDENORTE,8473922.0,2018-01-11,2020-08-11,1579.86,4.86,1615.6211,1827.4331,5.0265,1837.7511
EDENORTE,8451818.0,2018-01-11,2021-10-23,1000.0,4.86,1022.6356,1204.171,2.3425,1212.981
EDENORTE,8563574.0,2018-01-11,2020-12-01,439.98,4.86,449.9392,508.9274,5.0265,519.6505
EDENORTE,8562152.0,2018-01-11,2019-02-21,537.66,4.86,549.8303,564.0005,7.4426,569.8657
EDENORTE,8563166.0,2018-01-11,2018-04-20,244.62,4.86,250.1571,250.1571,5.1,253.9671
EDENORTE,8563254.0,2018-01-11,2021-05-11,679.74,4.86,695.1263,806.0198,3.1025,814.9263
EDENORTE,8563651.0,2018-01-11,2018-08-23,582.06,4.86,595.2353,595.2353,5.1544,599.6903
EDENORTE,8563580.0,2018-01-11,2018-08-09,1340.1,4.86,1370.434,1370.434,5.1544,1377.9816
EDENORTE,8562905.0,2018-01-11,2018-04-05,866.22,4.86,885.8274,885.8274,5.1,897.4622
EDENORTE,8563667.0,2018-01-11,2020-03-09,444.22,4.86,454.2752,497.2818,6.6562,503.4484
EDENORTE,8563517.0,2018-01-11,2019-10-12,991.74,4.86,1014.1886,1079.04,5.776,1096.6277
EDENORTE,8563152.0,2018-01-11,2018-03-22,300.0,4.86,306.7907,306.7907,4.9787,310.1384
EDENORTE,8563554.0,2018-01-11,2020-11-30,1286.82,4.86,1315.948,1488.472,5.0265,1519.6291
EDENORTE,8563271.0,2018-01-11,2022-05-10,1562.1,4.86,1597.4591,1903.0671,2.3099,1918.6033
EDENORTE,8563400.0,2018-01-11,2018-06-20,446.94,4.86,457.0568,457.0568,5.1617,468.0448
